"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68"
"1",0.2655086631421,0.37212389963679,0.0572853363351896,913,8,4,7,5,6,8,4,7,8,0.28812628821923,0.334987015830731,0.278894749391129,0.293998457934755,0.306674308432581,0.266936276678578,0.306277045617842,0.358230958335855,0,1,0.245677041766427,0.0648044929953891,662,1665312,0,1,1,0,1,1,1,0,0,11,1,1,6,9,11,1,1,1,1,0,1,1,1,0,0,11,1,1,6,9,11,1,1,0.0952380952380952,0.380952380952381,0,0.0476190476190476,0.0952380952380952,0.0952380952380952,0,0
"2",0.306768506066874,0.507478203158826,0.0426907666493207,708,3,6,4,5,-1,-1,-1,-1,-1,0.317186006124881,0.359791525677758,0.386809672861253,-1,-1,-1,-1,-1,0,0,0.61427193828351,0.138945962661701,467,1001112,0,0,0,1,-1,-1,-1,-1,-1,1,1,6,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,1,1,6,-1,-1,-1,-1,-1,0,0,0.0588235294117647,-1,-1,-1,-1,-1
"3",0.257672501029447,0.307766110869125,0.0552322433330119,104,7,4,7,6,3,4,4,6,-1,0.284513215922614,0.293279231535043,0.284640330679288,0.295191223542806,0.278716899185047,0.266259558278178,0.296259689327927,-1,0,0,0.482436747727831,0.103219566336119,459,21424,0.0571379027587937,1,2,1,1,2,1,1,-1,20,12,9,1,5,3,5,-1,1,2,1,1,2,1,1,-1,20,12,9,1,5,3,5,-1,0.0434782608695652,0.347826086956522,0.0869565217391304,0.565217391304348,0.869565217391304,0.0869565217391304,0.304347826086957,-1
"4",0.327878709649667,0.758846486220136,0.0113936396082863,706,7,7,7,2,5,6,3,6,-1,0.398102564852633,0.674785938141684,0.452696554441001,0.358810761893431,0.564180685705037,0.619451369392091,0.522631358810217,-1,1,0,0.733208176887776,0.438833253040218,1135,995460,1,0,1,2,0,1,1,0,-1,1,19,18,1,29,6,1,-1,0,1,2,0,1,1,0,-1,1,19,18,1,29,6,1,-1,0,0.0212765957446809,0.468085106382979,0,0.0851063829787234,0.170212765957447,0,-1
"5",0.441857574274763,0.473850877489895,0.0332709635607898,621,7,6,3,3,6,8,8,3,-1,0.465462949491192,0.451170406161994,0.450298152284338,0.460299548548946,0.453987688046187,0.445629242350429,0.45164455238079,-1,0,0,0.585535230352303,0.239821800747298,937,770040,0.0217600838761136,0,1,2,0,1,0,0,-1,1,36,22,1,5,1,1,-1,0,1,2,0,1,0,0,-1,1,36,22,1,5,1,1,-1,0,0.0277777777777778,0.222222222222222,0,0.0555555555555556,0,0,-1
"6",0.412628483492881,0.985688783228397,0.0429539246251807,448,2,5,4,-1,-1,-1,-1,-1,-1,0.91766156207392,0.516972273909026,-1,-1,-1,-1,-1,-1,0,1,0.451596467391304,0.0701093064677909,427,400512,0,1,1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,0.0625,0.4375,-1,-1,-1,-1,-1,-1
"7",0.445006332360208,0.790651923744008,0.0612035629106686,266,8,5,2,4,6,7,8,5,4,0.632276875321128,0.690413117318046,0.460998042519915,0.726194957545999,0.515427950365027,0.61989046444635,0.451992851653369,0.762728800269127,0,1,0.717230902777778,0.617227918826223,653,140980,0.501198934526748,0,2,1,1,1,0,1,1,1,1,60,59,31,1,4,12,0,2,1,1,1,0,1,1,1,1,60,59,31,1,4,12,0,1.38028169014085,0.0140845070422535,0.0140845070422535,0.211267605633803,0,0.028169014084507,0.028169014084507
"8",0.472047969000414,0.93905079131946,0.0103340297006071,896,8,6,3,6,6,4,6,8,6,0.727641735030489,0.906457792161073,0.617696721991696,0.837868959534397,0.815790602894612,0.894504509147849,0.812089016395196,0.522746371167963,1,1,0.573785441883601,0.281441598839017,785,1603840,0.0577357147489295,1,2,1,1,0,0,1,1,15,1,21,4,1,1,3,1,1,2,1,1,0,0,1,1,15,1,21,4,1,1,3,1,0.0540540540540541,0.945945945945946,0.0540540540540541,0.0540540540540541,0,0,0.027027027027027,0.540540540540541
"9",0.245965730864555,0.271646545501426,0.0778646249556914,980,5,3,7,2,3,8,-1,-1,-1,0.27088197811375,0.251207115101926,0.246711224430822,0.265596617923815,0.268305563150897,-1,-1,-1,0,1,0.398161913772131,0.218012610982393,1329,1918840,0,0,0,0,1,1,-1,-1,-1,1,1,1,3,36,-1,-1,-1,0,0,0,1,1,-1,-1,-1,1,1,1,3,36,-1,-1,-1,0,0,0,0.0816326530612245,0.0204081632653061,-1,-1,-1
"10",0.152361982502043,0.57850015652366,0.0133561419555917,569,2,3,8,-1,-1,-1,-1,-1,-1,0.361990231256145,0.322729710221318,-1,-1,-1,-1,-1,-1,1,1,0.471842105263158,0.0443596131659629,273,646384,0,2,1,-1,-1,-1,-1,-1,-1,6,3,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,6,3,-1,-1,-1,-1,-1,-1,0.7,0.1,-1,-1,-1,-1,-1,-1
"11",0.0702412934042513,0.383372738258913,0.0564758067252114,312,7,6,7,5,7,5,7,4,-1,0.256389117679222,0.372203428745493,0.0766721870121712,0.202015513514491,0.0780775826722019,0.235241475284941,0.213510425999285,-1,0,1,0.383547008547009,0.068218261804323,501,194064,0,1,1,0,0,1,1,1,-1,10,1,1,1,1,12,9,-1,1,1,0,0,1,1,1,-1,10,1,1,1,1,12,9,-1,0.0555555555555556,0.333333333333333,0,0,0.166666666666667,0.111111111111111,0.0555555555555556,-1
"12",0.322057724930346,0.698772805044428,0.0615306114545092,66,5,4,5,7,3,2,-1,-1,-1,0.685047029136291,0.542807649524663,0.649221555342521,0.503473984177128,0.593959650010906,-1,-1,-1,1,0,0.689821912961434,0.500036433008552,473,8580,0.324084746375979,1,1,1,3,2,-1,-1,-1,21,4,18,9,1,-1,-1,-1,1,1,1,3,2,-1,-1,-1,21,4,18,9,1,-1,-1,-1,0.1,0.0833333333333333,0.116666666666667,1.03333333333333,1.36666666666667,-1,-1,-1
"13",0.664093488361686,0.667560551315546,0.0793384522199631,907,7,4,4,4,5,5,6,5,-1,0.66720481624854,0.667533398917882,0.665878084427044,0.665251132419786,0.666665802946729,0.665743190553498,0.665902517065456,-1,0,0,0.647336948963983,0.318388350475822,1174,1643484,0.00209791031451356,0,2,0,0,1,1,0,-1,1,1,1,1,2,5,1,-1,0,2,0,0,1,1,0,-1,1,1,1,1,2,5,1,-1,0,0.25531914893617,0,0,0.106382978723404,0.0212765957446809,0,-1
"14",0.857226262334734,0.884846594417468,0.00815865357872099,158,3,2,7,5,-1,-1,-1,-1,-1,0.866360325532043,0.881441435314169,0.860520128774333,-1,-1,-1,-1,-1,1,1,0.886333333333333,0.774113392524638,318,49612,1,2,0,1,-1,-1,-1,-1,-1,1,1,37,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,1,1,37,-1,-1,-1,-1,-1,1.73333333333333,0,0.0444444444444444,-1,-1,-1,-1,-1
"15",0.0438248154241592,0.372198376338929,0.0709684018278495,675,6,8,5,6,7,3,4,-1,-1,0.0565035027693769,0.273919960728937,0.358024939894194,0.113883972039551,0.26089993422821,0.347018324568692,-1,-1,0,0,0.429775280898876,0.0968622138657911,655,909900,0,1,1,1,1,1,0,-1,-1,21,4,14,11,7,1,-1,-1,1,1,1,1,1,0,-1,-1,21,4,14,11,7,1,-1,-1,0.0454545454545455,0.227272727272727,0.0454545454545455,0.0454545454545455,0.136363636363636,0,-1,-1
"16",0.191247610840946,0.55232626828365,0.0184616798302159,694,6,5,2,2,4,7,4,-1,-1,0.211641793371494,0.343745922035717,0.488383073930701,0.264636353220587,0.283340114355171,0.218541312177406,-1,-1,1,1,0.51584229390681,0.260051731324761,1106,961884,0,1,1,2,0,0,0,-1,-1,6,13,2,1,1,1,-1,-1,1,1,2,0,0,0,-1,-1,6,13,2,1,1,1,-1,-1,0.0666666666666667,0.0888888888888889,0.6,0,0,0,-1,-1
"17",0.0704243928194046,0.806614760309458,0.0274114108644426,749,7,7,4,4,4,6,4,4,-1,0.339909573133185,0.22769317447058,0.480917389255043,0.242685418769215,0.489594842916277,0.444608619691512,0.37674511825507,-1,0,1,0.376610415532571,0.122475184093705,862,1120504,0,0,1,1,0,1,1,0,-1,1,12,9,1,2,2,1,-1,0,1,1,0,1,1,0,-1,1,12,9,1,2,2,1,-1,0,0.0606060606060606,0.0303030303030303,0,0.242424242424242,0.181818181818182,0,-1
"18",0.20980934263207,0.369630129775032,0.0432989811059088,758,6,3,7,6,4,3,7,-1,-1,0.31813612682235,0.227717608843643,0.311366500164575,0.338943709311836,0.218460320727693,0.307090081216447,-1,-1,0,0,0.533142857142857,0.131930509910819,818,1147612,0,0,0,1,1,0,0,-1,-1,1,1,7,9,1,1,-1,-1,0,0,1,1,0,0,-1,-1,1,1,7,9,1,1,-1,-1,0,0,0.04,0.08,0,0,-1,-1
"19",0.0405566541012377,0.390091221313924,0.0209781651385129,965,7,7,6,2,6,4,3,4,-1,0.233608348066077,0.14721944046787,0.078003781712434,0.0685919241052424,0.318989419225167,0.379497491745528,0.282219868840136,-1,1,1,0.545058139534884,0.159713094181467,837,1860520,0,0,1,0,0,1,1,1,-1,1,6,1,1,6,3,20,-1,0,1,0,0,1,1,1,-1,1,6,1,1,6,3,20,-1,0,0.0714285714285714,0,0,0.0714285714285714,0.357142857142857,0.0357142857142857,-1
"20",0.0807501375675201,0.834333037259057,0.0600760886212811,199,5,4,4,3,4,2,-1,-1,-1,0.373668800264042,0.815906304028569,0.2992080141148,0.591966027153966,0.634874413039341,-1,-1,-1,0,0,0.647447916666667,0.539139175307378,1197,78804,1,1,1,1,1,2,-1,-1,-1,10,2,4,79,4,-1,-1,-1,1,1,1,1,2,-1,-1,-1,10,2,4,79,4,-1,-1,-1,0.075,0.2,0.15,0.0125,1.2875,-1,-1,-1
"21",0.0499110848177224,0.822136495495215,0.0531233831541613,349,2,7,3,-1,-1,-1,-1,-1,-1,0.446164050752787,0.532795194715462,-1,-1,-1,-1,-1,-1,0,0,0.522081064730793,0.162771139527283,778,242904,0.0396028830655107,2,2,-1,-1,-1,-1,-1,-1,5,3,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,5,3,-1,-1,-1,-1,-1,-1,0.448275862068966,1.24137931034483,-1,-1,-1,-1,-1,-1
"22",0.781532333930954,0.808665636228397,0.0915171483531594,755,5,7,6,4,3,4,-1,-1,-1,0.807050777157475,0.79106820603491,0.783755594809669,0.785903413623371,0.795634272397392,-1,-1,-1,1,0,0.48828125,0.256051108240285,1150,1138540,0.0299548812867943,0,1,1,3,1,-1,-1,-1,1,11,21,24,26,-1,-1,-1,0,1,1,3,1,-1,-1,-1,1,11,21,24,26,-1,-1,-1,0,0.142857142857143,0.0535714285714286,0.839285714285714,0.0357142857142857,-1,-1,-1
"23",0.0356720928102732,0.238672194071114,0.0671010900754482,840,3,3,6,4,-1,-1,-1,-1,-1,0.171365743650622,0.149408687589655,0.0709486793462083,-1,-1,-1,-1,-1,1,1,0.519950637597696,0.0676008365029102,425,1409520,0,0,1,0,-1,-1,-1,-1,-1,1,3,1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,1,3,1,-1,-1,-1,-1,-1,0,0.153846153846154,0,-1,-1,-1,-1,-1
"24",0.814336203504354,0.883751819375902,0.00218801223672926,509,2,7,3,-1,-1,-1,-1,-1,-1,0.824350170246008,0.842776737715394,-1,-1,-1,-1,-1,-1,1,0,0.691916254725211,0.212204723374401,485,517144,0.752891902668197,2,3,-1,-1,-1,-1,-1,-1,13,1,-1,-1,-1,-1,-1,-1,2,3,-1,-1,-1,-1,-1,-1,13,1,-1,-1,-1,-1,-1,-1,0.210526315789474,1.05263157894737,-1,-1,-1,-1,-1,-1
"25",0.161793916486204,0.712813642574474,0.0150643597589806,612,5,5,5,7,3,4,-1,-1,-1,0.2287669676232,0.513574113225804,0.392492158083179,0.479147292084069,0.613050976805978,-1,-1,-1,1,1,0.523314285714286,0.152263921168247,617,747864,0,0,0,1,2,1,-1,-1,-1,1,1,2,22,17,-1,-1,-1,0,0,1,2,1,-1,-1,-1,1,1,2,22,17,-1,-1,-1,0,0,0.08,0.24,0.04,-1,-1,-1
"26",0.492882562335581,0.571628963807598,0.0783695237711072,563,8,5,6,7,6,4,8,7,8,0.541180890384091,0.535869801517692,0.541666854995602,0.513769758091736,0.521221169747916,0.500925200645519,0.524419268111056,0.525160163606901,0,0,0.494554924242424,0.110655699135981,659,632812,0,1,0,0,1,0,1,1,1,2,1,1,6,1,18,2,1,1,0,0,1,0,1,1,1,2,1,1,6,1,18,2,1,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0.25,0.0416666666666667
"27",0.0207406976260245,0.109341426752508,0.00212627321016043,721,3,4,3,7,-1,-1,-1,-1,-1,0.0553748036513795,0.0893615219524614,0.0568713246819847,-1,-1,-1,-1,-1,0,1,0.713010204081633,0.0515614805524653,132,1038240,0,0,1,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0.5,0,-1,-1,-1,-1,-1
"28",0.0872195051051676,0.367518282262608,0.00889902743510902,419,4,3,7,2,3,-1,-1,-1,-1,0.342304265775084,0.155654580354851,0.215246617376775,0.270198840785418,-1,-1,-1,-1,0,1,0.614019607843137,0.30563123358002,634,350284,0.334054983866122,3,1,0,0,-1,-1,-1,-1,2,13,1,1,-1,-1,-1,-1,3,1,0,0,-1,-1,-1,-1,2,13,1,1,-1,-1,-1,-1,1.46666666666667,0.133333333333333,0,0,-1,-1,-1,-1
"29",0.264219110598788,0.727388322353363,0.0414944007992744,280,4,6,7,2,3,-1,-1,-1,-1,0.304573739532525,0.723457357635502,0.676741971228491,0.644497848720858,-1,-1,-1,-1,0,1,0.784300631374454,0.618338878873506,698,156240,0.0225609287564243,1,1,2,2,-1,-1,-1,-1,20,54,1,10,-1,-1,-1,-1,1,1,2,2,-1,-1,-1,-1,20,54,1,10,-1,-1,-1,-1,0.0689655172413793,0.0172413793103448,1.44827586206897,0.586206896551724,-1,-1,-1,-1
"30",0.249358018161729,0.252956280484796,0.0949676612624899,515,7,6,2,3,3,3,8,4,-1,0.249684301574069,0.251220096230298,0.252954566026668,0.250323163767362,0.251844370975489,0.25056163443606,0.252023277373286,-1,0,0,0.574123989218329,0.326213950294944,1157,529420,0.0794097042234838,1,2,0,1,0,1,1,-1,44,6,1,4,1,14,31,-1,1,2,0,1,0,1,1,-1,44,6,1,4,1,14,31,-1,0.0188679245283019,0.792452830188679,0,0.264150943396226,0,0.0377358490566038,0.0188679245283019,-1
"31",0.218089162139222,0.987634242279455,0.0348461888497695,412,3,5,8,3,-1,-1,-1,-1,-1,0.870526678431583,0.876243589406213,0.742840789424173,-1,-1,-1,-1,-1,0,1,0.63766571969697,0.177335242781842,454,338664,0.475340188112032,0,0,3,-1,-1,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,0,0,3,-1,-1,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,0,0,1.375,-1,-1,-1,-1,-1
"32",0.269507702905685,0.540701874764636,0.0459177821641788,368,8,4,8,7,5,5,6,4,4,0.28967603462536,0.511765229850606,0.45426663869785,0.4239360191117,0.276630438124677,0.403717755397573,0.339693651316987,0.490985720251904,0,1,0.529028571428571,0.131947047412636,585,270112,1,1,0,0,1,1,0,0,2,7,1,1,8,14,1,1,1,1,0,0,1,1,0,0,2,7,1,1,8,14,1,1,1,0.04,0,0,0.04,0.08,0,0,0.72
"33",0.304439206141979,0.931807968067005,0.00785009386017919,819,3,3,5,3,-1,-1,-1,-1,-1,0.457704691727888,0.375567498978277,0.902010533756505,-1,-1,-1,-1,-1,0,0,0.630311397453597,0.361634860714395,940,1339884,0.904105975849406,1,0,3,-1,-1,-1,-1,-1,30,1,5,-1,-1,-1,-1,-1,1,0,3,-1,-1,-1,-1,-1,30,1,5,-1,-1,-1,-1,-1,0.024390243902439,0,0.951219512195122,-1,-1,-1,-1,-1
"34",0.445598224643618,0.497231533750892,0.0381309169344604,906,2,8,4,-1,-1,-1,-1,-1,-1,0.496841421077861,0.485916068536735,-1,-1,-1,-1,-1,-1,0,0,0.281777046482929,0.041532623002337,394,1639860,0.0214851589486322,2,0,-1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,-1,-1,-1,0.230769230769231,0,-1,-1,-1,-1,-1,-1
