"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"207",0,0.1,0.1,0.470110681239568,0.10193193482793,9457,0.00212756771300603,0.000821492836628683,219,0.0807483389042318,0.0978075725259259,0.0957933716475964,0.0762731856433675,5,5,4,4,2,2,3,2,129,97,15,115,106,84,13,97
"208",0,0.1,0.1,0.483981151275253,0.114640174496535,9214,0.00102201180803668,0.000392984400538873,244,0.0243749390589073,0.0792010425822809,0.0340062352828681,0.0972062500659376,5,4,4,4,1,1,1,2,13,24,19,31,42,19,16,26
"209",0,0.1,0.1,0.498503995754271,0.113964683423907,8698,0.0012266514213534,0.00100167940453679,219,0.0321509178960696,0.0718927504029125,0.0290873386897147,0.0932269813260064,4,4,5,5,2,2,1,2,20,145,18,181,19,14,17,148
"210",0,0.1,0.1,0.495909586801302,0.0956733601749336,8633,0.00216094755437177,0.000807031574020553,199,0.0443723587784916,0.0134076150367036,0.0390657789772376,0.0369315771851689,4,4,4,4,2,1,2,1,57,20,149,2,71,18,123,2
"301",0,0.1,0.15,0.481996234382109,0.148518762683436,11049,0.00237986206613903,0.000664122897245596,311,0.0201681931037456,0.0898389684967697,0.0944675268605352,0.0660797792486846,4,4,5,5,1,2,2,1,87,20,45,2,86,151,69,2
"302",0,0.1,0.15,0.483602120535714,0.155857344924796,9556,0.0175614313478169,0.00115422937464357,320,0.00851359688676894,0.0225436616456136,0.0274530522990972,0.0272305066231638,5,4,4,5,1,1,2,1,18,13,13,49,13,9,9,35
"303",0,0.1,0.15,0.476886231575169,0.153132465435903,11388,0.00776484297633936,0.00159898182668219,318,0.0943839338840917,0.0943474958650768,0.0129158976720646,0.0833448815625161,4,5,5,4,2,3,2,2,29,16,190,109,26,17,149,101
"304",0,0.1,0.15,0.471621568627451,0.13797102592427,12412,0.00111569371556421,0.000592624107951145,300,0.0602100674761459,0.0604394054040313,0.0124633444240317,0.0294600924244151,4,5,4,4,2,2,2,1,32,19,7,1,29,17,7,1
"305",0,0.1,0.15,0.480744047619048,0.148512571569077,11828,0.000537838975227712,0.000346407764133407,320,0.0813574214931577,0.0260427771368995,0.0724405892658979,0.0906092151300982,5,4,4,4,2,2,2,1,58,152,311,17,224,129,2,17
"306",0,0.1,0.15,0.480076469638714,0.137257410285078,12113,0.000203489818801095,0.000472717988861076,303,0.0104650127934292,0.0701057459227741,0.0527959984261543,0.0807935200864449,4,5,5,4,1,2,2,1,111,153,242,4,97,131,195,4
"307",0,0.1,0.15,0.483724437896805,0.163042710758239,12513,0.00144861799205551,0.000663353183717843,323,0.0807483389042318,0.0978075725259259,0.0957933716475964,0.0762731856433675,5,5,4,4,2,2,2,2,90,47,26,180,59,61,26,141
"308",0,0.1,0.15,0.473799122750803,0.162915450019083,14094,0.000107444912703332,0.000445501163918305,338,0.0243749390589073,0.0792010425822809,0.0340062352828681,0.0972062500659376,5,4,4,4,2,1,2,1,41,58,310,1,80,39,233,1
"309",0,0.1,0.15,0.489152626029211,0.159241445375123,10485,0.000815597562203798,0.000708698351150954,318,0.0321509178960696,0.0718927504029125,0.0290873386897147,0.0932269813260064,4,4,5,5,2,1,1,2,180,51,31,65,147,53,27,43
"310",0,0.1,0.15,0.488636544887592,0.144734556605944,11575,0.000100542934015143,0.000766912333001889,294,0.0443723587784916,0.0134076150367036,0.0390657789772376,0.0369315771851689,4,4,4,4,2,1,1,1,193,44,13,27,151,32,13,23
"401",0,0.1,0.2,0.511248527231956,0.213166596198717,13922,0.000825034068284095,0.000498740477825956,415,0.0201681931037456,0.0898389684967697,0.0944675268605352,0.0660797792486846,4,4,5,5,1,1,2,2,27,18,72,133,23,16,58,119
"402",0,0.1,0.2,0.501431585292345,0.215890548375,13475,0.00306282717500161,0.000523190755664238,420,0.00851359688676894,0.0225436616456136,0.0274530522990972,0.0272305066231638,5,4,4,5,2,1,2,1,95,11,14,3,167,12,13,3
"403",0,0.1,0.2,0.470710362662673,0.196874779224067,14061,0.0011928110402171,0.000785086222115378,427,0.0943839338840917,0.0943474958650768,0.0129158976720646,0.0833448815625161,4,5,5,4,2,3,2,1,328,31,285,15,251,25,226,15
"404",0,0.1,0.2,0.500898705767576,0.192774854460339,14676,0.00170294929187547,0.000641296775242684,387,0.0602100674761459,0.0604394054040313,0.0124633444240317,0.0294600924244151,4,5,4,4,2,1,2,2,162,13,288,94,136,12,214,57
"405",0,0.1,0.2,0.5085765625,0.218456315753753,12641,0.000127444597106896,0.000331384674411496,400,0.0813574214931577,0.0260427771368995,0.0724405892658979,0.0906092151300982,5,4,4,4,1,1,2,1,1,2,162,13,1,2,196,19
"406",0,0.1,0.2,0.476890604009248,0.190118964419322,14786,0.000618598457728729,0.000421562710251378,407,0.0104650127934292,0.0701057459227741,0.0527959984261543,0.0807935200864449,4,5,5,4,2,3,2,2,182,99,156,27,152,62,131,19
"407",0,0.1,0.2,0.467157439775511,0.194897487506502,15362,0.000941664870812792,0.000703188471680274,428,0.0807483389042318,0.0978075725259259,0.0957933716475964,0.0762731856433675,5,5,4,4,2,1,2,2,138,10,19,105,129,9,18,111
"408",0,0.1,0.2,0.481131298150208,0.20076882018461,14738,0.000126109547981201,0.00038611717637966,434,0.0243749390589073,0.0792010425822809,0.0340062352828681,0.0972062500659376,5,4,4,4,2,2,1,1,75,128,7,2,6,122,7,2
"409",0,0.1,0.2,0.490776756247053,0.201468489781596,13217,0.000998859588744266,0.000829997425230864,404,0.0321509178960696,0.0718927504029125,0.0290873386897147,0.0932269813260064,4,4,5,5,2,1,1,2,48,36,9,174,38,32,9,149
"410",0,0.1,0.2,0.48743828635133,0.185115500650075,12752,4.77448504971889e-05,0.000826939420484018,390,0.0443723587784916,0.0134076150367036,0.0390657789772376,0.0369315771851689,4,4,4,4,2,1,1,1,80,67,13,32,54,51,24,21
"501",0,0.1,0.25,0.503505740821998,0.267602179574643,17030,0.000740971169685828,0.000524376209311758,516,0.0201681931037456,0.0898389684967697,0.0944675268605352,0.0660797792486846,4,4,5,5,1,2,2,2,70,367,61,285,56,254,52,11
"502",0,0.1,0.25,0.483515118698242,0.2467141109367,14892,0.00200181557650928,0.000502897547088887,511,0.00851359688676894,0.0225436616456136,0.0274530522990972,0.0272305066231638,5,4,4,5,1,1,2,2,4,17,43,109,3,12,30,36
"503",0,0.1,0.25,0.472402386988734,0.244752913543496,14888,0.0007506337002256,0.000776471349735757,522,0.0943839338840917,0.0943474958650768,0.0129158976720646,0.0833448815625161,4,5,5,4,1,3,2,2,16,64,155,93,14,54,147,5
"504",0,0.1,0.25,0.485653875725169,0.239724099229786,17115,0.00073918825887393,0.000674178085721881,494,0.0602100674761459,0.0604394054040313,0.0124633444240317,0.0294600924244151,4,5,4,4,2,2,2,1,20,116,354,19,17,178,268,16
"505",0,0.1,0.25,0.503600613417982,0.251527083850433,14465,0.000665458759370329,0.000405317631021098,496,0.0813574214931577,0.0260427771368995,0.0724405892658979,0.0906092151300982,5,4,4,4,2,1,2,1,45,10,114,55,34,10,199,52
"506",0,0.1,0.25,0.491281478123583,0.250841643484942,13725,0.000870098296185793,0.000452493515527307,518,0.0104650127934292,0.0701057459227741,0.0527959984261543,0.0807935200864449,4,5,5,4,1,1,2,2,2,12,393,106,2,10,24,270
"507",0,0.1,0.25,0.461147477859068,0.238305708024309,16277,0.00150676262844408,0.00085034561280546,530,0.0807483389042318,0.0978075725259259,0.0957933716475964,0.0762731856433675,5,5,4,4,1,2,1,2,28,31,11,5,23,25,8,9
"508",0,0.1,0.25,0.502071917808219,0.266450040655036,18519,0.000584481186283083,0.000389417291673564,540,0.0243749390589073,0.0792010425822809,0.0340062352828681,0.0972062500659376,5,4,4,4,1,2,2,2,23,408,24,114,28,20,20,145
"509",0,0.1,0.25,0.512802344115889,0.249691392375031,14190,0.000375461412302001,0.000482256220908934,491,0.0321509178960696,0.0718927504029125,0.0290873386897147,0.0932269813260064,4,4,5,5,2,1,2,2,156,37,46,80,149,46,34,56
"510",0,0.1,0.25,0.464172824082018,0.230789540688379,16071,0.00023086622127072,0.000509000644685978,496,0.0443723587784916,0.0134076150367036,0.0390657789772376,0.0369315771851689,4,4,4,4,2,1,2,1,69,12,148,49,169,12,147,34
"601",0,0.1,0.3,0.478483075803042,0.293983153211526,20464,0.000520304751240097,0.000513075573046807,622,0.0201681931037456,0.0898389684967697,0.0944675268605352,0.0660797792486846,4,4,5,5,3,2,2,1,98,170,173,9,77,106,183,9
"602",0,0.1,0.3,0.488245504902396,0.299707089036063,16002,0.00231377834353541,0.000487062474832245,605,0.00851359688676894,0.0225436616456136,0.0274530522990972,0.0272305066231638,5,4,4,5,1,1,2,1,9,50,6,19,7,45,4,11
"603",0,0.1,0.3,0.469649282934147,0.292338507117998,19635,0.000543701368748692,0.000782491369048385,623,0.0943839338840917,0.0943474958650768,0.0129158976720646,0.0833448815625161,4,5,5,4,1,2,1,2,3,13,15,381,3,22,16,270
"604",0,0.1,0.3,0.500365522501907,0.282173110872083,17381,0.000754465399645401,0.000676888879013393,575,0.0602100674761459,0.0604394054040313,0.0124633444240317,0.0294600924244151,4,5,4,4,2,2,2,1,15,50,187,17,13,122,338,15
"605",0,0.1,0.3,0.480002219286783,0.286103077828387,17524,0.000341185485201364,0.000387048349468157,609,0.0813574214931577,0.0260427771368995,0.0724405892658979,0.0906092151300982,5,4,4,4,3,2,1,2,219,584,16,560,107,29,16,5
"606",0,0.1,0.3,0.495713812776441,0.302493497140457,16496,0.00138825498366225,0.000507290166290747,619,0.0104650127934292,0.0701057459227741,0.0527959984261543,0.0807935200864449,4,5,5,4,1,1,2,2,1,4,103,14,1,4,82,30
"607",0,0.1,0.3,0.500568522678125,0.320524495917712,16016,0.000924077935064223,0.000598535492322576,626,0.0807483389042318,0.0978075725259259,0.0957933716475964,0.0762731856433675,5,5,4,4,2,2,2,2,209,231,163,509,258,264,113,329
"608",0,0.1,0.3,0.500470133541,0.31533879451699,18168,0.000630439179602212,0.000348391600574374,635,0.0243749390589073,0.0792010425822809,0.0340062352828681,0.0972062500659376,5,4,4,4,2,1,2,2,411,6,14,2,29,5,13,2
"609",0,0.1,0.3,0.479112037814026,0.281174257658591,17543,0.000545237070119114,0.000430671678150246,577,0.0321509178960696,0.0718927504029125,0.0290873386897147,0.0932269813260064,4,4,5,5,2,2,1,2,58,81,6,357,48,276,6,362
"610",0,0.1,0.3,0.472052178939318,0.283947329947419,20231,0.00163944298603026,0.000518238734344161,601,0.0443723587784916,0.0134076150367036,0.0390657789772376,0.0369315771851689,4,4,4,4,2,2,2,2,370,401,120,412,265,349,92,286
"701",0,0.1,0.35,0.495588826757658,0.35937522568102,19621,0.00127441311614427,0.00061549261561171,726,0.0201681931037456,0.0898389684967697,0.0944675268605352,0.0660797792486846,4,4,5,5,1,2,3,2,37,134,202,501,30,187,158,2
"702",0,0.1,0.35,0.491899595227178,0.341507563023985,17735,0.00136549371042473,0.000488230921328378,699,0.00851359688676894,0.0225436616456136,0.0274530522990972,0.0272305066231638,5,4,4,5,1,2,2,2,2,604,47,461,2,347,38,292
"703",0,0.1,0.35,0.457823731593272,0.328142868290575,22216,0.00128570890268424,0.00109130524685625,712,0.0943839338840917,0.0943474958650768,0.0129158976720646,0.0833448815625161,4,5,5,4,2,2,1,2,63,183,2,194,45,206,2,120
"704",0,0.1,0.35,0.47547907211296,0.333255737788376,19585,0.00123601416172392,0.00094344144539276,678,0.0602100674761459,0.0604394054040313,0.0124633444240317,0.0294600924244151,4,5,4,4,2,3,2,2,191,155,20,281,19,179,23,232
