"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"17804",0.1,0.8,0.4,0.511339556144916,0.444258467689494,18636,0.100966971349568,0.0511479504696649,877,0.521470472333021,0.523075837828219,0.187243410968222,0.306220646970905,4,5,4,4,3,2,2,2,32,22,93,493,19,14,128,192
"17805",0.1,0.8,0.4,0.511083327056815,0.488281822296538,20190,0.00575024553347998,0.00240425401509027,935,0.669501950452104,0.282299439958297,0.607084124861285,0.734264505910687,5,4,4,4,2,2,3,2,163,67,642,28,96,87,438,25
"17806",0.1,0.8,0.4,0.510397436361516,0.472688617653879,21326,0.0120001451561347,0.00448770373268965,926,0.173255089554004,0.590740221459419,0.46957198898308,0.665554640605114,4,5,5,4,2,2,2,4,465,403,128,33,6,195,91,26
"17807",0.1,0.8,0.4,0.507127261587869,0.499398881720356,19685,0.0248967416859784,0.0124924828578495,967,0.665238372329623,0.784653007681482,0.770553601533175,0.633912299503572,5,5,4,4,3,3,4,3,475,93,205,97,14,43,114,62
"17808",0.1,0.8,0.4,0.527138157894737,0.496685402581107,14372,0.0211023457311311,0.00574821050669791,936,0.270624573412351,0.654407298075967,0.338043646980077,0.780443750461564,5,4,4,4,1,4,3,4,229,58,161,1,139,76,57,1
"17809",0.1,0.8,0.4,0.518656735324669,0.456506120048318,16964,0.00649312609376518,0.0023052032583335,885,0.325056425272487,0.603249252820388,0.303611370828003,0.752588869282044,4,4,5,5,3,3,2,2,737,335,57,64,134,262,68,57
"17810",0.1,0.8,0.4,0.508278321949162,0.46121322376251,21751,0.0041861633589004,0.00221797575494575,883,0.410606511449441,0.193853305256926,0.373460452840664,0.358521040296182,4,4,4,4,3,2,2,2,3,334,184,55,6,7,230,289
"17901",0.1,0.8,0.45,0.50703212642016,0.527236415065279,20134,0.0230537860482493,0.00814003445262598,1027,0.241177351726219,0.728872779477388,0.761272688023746,0.562558454740793,4,4,5,5,2,4,3,3,573,17,122,661,9,20,248,19
"17902",0.1,0.8,0.45,0.490310060003515,0.451498027940558,23042,0.000564664778646788,0.000798851410998045,935,0.159595178207383,0.257805631519295,0.29217136609368,0.290613546362147,5,4,4,5,2,1,2,2,490,21,10,840,20,23,10,416
"17903",0.1,0.8,0.45,0.532116289046601,0.547659443126584,15810,0.086455228306436,0.0472203137122086,1003,0.760687537188642,0.760432471055537,0.190411283704452,0.683414170937613,4,5,5,4,4,3,2,4,2,322,58,4,3,120,37,4
"17904",0.1,0.8,0.45,0.497321256967134,0.482501190723008,22762,0.0774571940610552,0.0409155189896002,968,0.521470472333021,0.523075837828219,0.187243410968222,0.306220646970905,4,5,4,4,3,2,2,2,51,27,147,627,52,20,100,367
"17905",0.1,0.8,0.45,0.508780512204882,0.521475393907402,18551,0.00346425113270165,0.00167182707443003,1020,0.669501950452104,0.282299439958297,0.607084124861285,0.734264505910687,5,4,4,4,2,2,2,2,170,43,15,32,77,52,31,165
"17906",0.1,0.8,0.45,0.53611893837319,0.545431973715382,22235,0.00606108643618626,0.00248500018356082,1017,0.173255089554004,0.590740221459419,0.46957198898308,0.665554640605114,4,5,5,4,1,2,3,4,30,54,936,34,39,66,6,26
"17907",0.1,0.8,0.45,0.525421740386004,0.54847293511507,22722,0.0117401188738178,0.00727530298745081,1052,0.665238372329623,0.784653007681482,0.770553601533175,0.633912299503572,5,5,4,4,3,2,3,2,109,148,12,4,147,171,18,4
"17908",0.1,0.8,0.45,0.503885319001713,0.524623852650584,20592,0.00667247462697188,0.00212737708955455,1037,0.270624573412351,0.654407298075967,0.338043646980077,0.780443750461564,5,4,4,4,2,3,2,4,11,320,230,1,10,172,118,1
"17909",0.1,0.8,0.45,0.499251200480192,0.488530187479843,19128,0.00421903833876056,0.00150482506784441,980,0.325056425272487,0.603249252820388,0.303611370828003,0.752588869282044,4,4,5,5,2,2,2,3,2,20,422,341,2,17,196,33
"17910",0.1,0.8,0.45,0.485175863297972,0.47702562077474,23242,0.00229376754804712,0.00171278816794801,966,0.410606511449441,0.193853305256926,0.373460452840664,0.358521040296182,4,4,4,4,3,2,2,3,87,729,334,641,85,48,275,373
"18001",0.1,0.9,0,0.865401370242763,0.611604374609748,1284,0.743940622515098,0.536222344181849,223,0.261345544829965,0.818711747974157,0.855740214884281,0.628638233989477,4,4,5,5,3,4,5,2,126,1,4,119,23,1,2,28
"18002",0.1,0.9,0,0.756148363651531,0.120810966715106,2102,0.829412607529165,0.352930530717723,101,0.168108775094152,0.280349293164909,0.319624418392777,0.317844052985311,5,4,4,5,1,4,4,2,46,18,1,2,34,9,1,2
"18003",0.1,0.9,0,0.908881477906007,0.588215968701716,922,0.857513930003105,0.542290759499129,214,0.855071471072733,0.854779966920614,0.203327181376517,0.766759052500129,4,5,5,4,4,5,1,4,2,105,144,1,2,14,67,1
"18004",0.1,0.9,0,0.789267058174621,0.335575907178329,2299,0.632658448148394,0.466964537019818,187,0.581680539809167,0.58351524323225,0.199706755392253,0.33568073939532,4,5,4,4,4,3,2,4,1,96,159,12,1,29,80,4
"18005",0.1,0.9,0,0.818240595383453,0.466022159345856,2013,0.802823033809958,0.66342502405169,229,0.750859371945262,0.308342217095196,0.679524714127183,0.824873721040785,5,4,4,4,3,3,4,4,114,130,8,1,21,59,3,1
"18006",0.1,0.9,0,0.856958650416255,0.571570052376848,1637,0.504336521040712,0.403899214538254,194,0.183720102347434,0.660845967382193,0.522367987409234,0.746348160691559,4,5,5,4,4,5,4,4,71,27,186,1,7,8,76,1
"18007",0.1,0.9,0,0.825239080964272,0.486012989434525,1503,0.913479578190911,0.753220742171678,279,0.745986711233854,0.882460580207407,0.866346973180771,0.71018548514694,5,5,4,4,2,5,4,4,97,107,1,3,32,28,1,2
"18008",0.1,0.9,0,0.888596212623361,0.627694921988812,1136,0.810042278366826,0.498467658676247,206,0.294999512471259,0.733608340658248,0.372049882262945,0.877650000527501,5,4,4,4,1,4,4,4,129,15,178,1,39,3,53,1
"18009",0.1,0.9,0,0.828340277777778,0.338917001873898,1475,0.941134506350296,0.665966083612244,199,0.357207343168557,0.6751420032233,0.332698709517717,0.845815850608051,4,4,5,5,4,4,1,5,69,12,54,1,18,4,23,1
"18010",0.1,0.9,0,0.739133719061395,0.22915342417069,1930,0.906685635784729,0.705252283519629,170,0.454978870227933,0.207260920293629,0.412526231817901,0.395452617481351,4,4,4,4,4,1,4,4,4,38,1,8,5,41,1,11
"18101",0.1,0.9,0.05,0.747367794727656,0.481225741259943,2966,0.674817804651172,0.424734009220705,310,0.261345544829965,0.818711747974157,0.855740214884281,0.628638233989477,4,4,5,5,2,4,5,2,134,2,1,149,29,2,1,112
"18102",0.1,0.9,0.05,0.573100092355168,0.141502195982122,6675,0.284992742453057,0.0862628297466588,199,0.168108775094152,0.280349293164909,0.319624418392777,0.317844052985311,5,4,4,5,1,4,4,1,15,196,1,12,18,151,1,12
"18103",0.1,0.9,0.05,0.80163909254923,0.510014332840173,1947,0.735649897603552,0.475937845388158,292,0.855071471072733,0.854779966920614,0.203327181376517,0.766759052500129,4,5,5,4,4,5,1,4,1,292,12,7,1,24,28,4
"18104",0.1,0.9,0.05,0.664127912841723,0.314664725485283,4639,0.406208772780286,0.339670853272976,276,0.581680539809167,0.58351524323225,0.199706755392253,0.33568073939532,4,5,4,4,4,3,3,4,1,195,260,77,1,111,12,17
"18105",0.1,0.9,0.05,0.673758384125129,0.336018695170249,4414,0.721154795701943,0.513274894227048,344,0.750859371945262,0.308342217095196,0.679524714127183,0.824873721040785,5,4,4,4,2,2,4,4,222,19,4,1,50,28,2,1
"18106",0.1,0.9,0.05,0.701337847095939,0.412172553363947,3503,0.452894764968794,0.313435110700248,273,0.183720102347434,0.660845967382193,0.522367987409234,0.746348160691559,4,5,5,4,2,5,3,4,99,124,120,1,13,78,63,1
"18107",0.1,0.9,0.05,0.777025741322624,0.497600806403363,2605,0.67731643195552,0.594758010012608,359,0.745986711233854,0.882460580207407,0.866346973180771,0.71018548514694,5,5,4,4,4,5,4,4,249,187,1,6,93,35,1,3
"18108",0.1,0.9,0.05,0.770359314957672,0.523030800758727,2435,0.725404758016825,0.45280278440312,289,0.294999512471259,0.733608340658248,0.372049882262945,0.877650000527501,5,4,4,4,1,4,3,4,193,51,117,1,74,5,24,1
"18109",0.1,0.9,0.05,0.718314212042333,0.309433877305337,3476,0.701360429341602,0.492024019082382,284,0.357207343168557,0.6751420032233,0.332698709517717,0.845815850608051,4,4,5,5,3,4,1,5,124,1,119,2,44,1,45,2
"18110",0.1,0.9,0.05,0.639517546737377,0.206063687416741,3999,0.711590147660609,0.564955445269706,253,0.454978870227933,0.207260920293629,0.412526231817901,0.395452617481351,4,4,4,4,4,2,4,3,5,15,1,86,5,16,1,38
"18201",0.1,0.9,0.1,0.686837872272655,0.431653774894357,4114,0.578138014573488,0.401896943362414,385,0.261345544829965,0.818711747974157,0.855740214884281,0.628638233989477,4,4,5,5,2,4,5,2,117,1,11,62,31,1,3,73
"18202",0.1,0.9,0.1,0.536978455499007,0.179759684547634,9329,0.0465397420993049,0.0138387434131254,304,0.168108775094152,0.280349293164909,0.319624418392777,0.317844052985311,5,4,4,5,2,2,4,2,241,16,6,18,3,14,6,15
"18203",0.1,0.9,0.1,0.705618591041888,0.425153202686928,3281,0.67578600610456,0.445243357372326,413,0.855071471072733,0.854779966920614,0.203327181376517,0.766759052500129,4,5,5,4,4,5,1,4,1,113,51,16,1,41,55,4
"18204",0.1,0.9,0.1,0.609112466124661,0.304534272102803,5987,0.407028384956884,0.296982557888522,360,0.581680539809167,0.58351524323225,0.199706755392253,0.33568073939532,4,5,4,4,4,3,3,3,1,129,149,92,1,47,100,24
"18205",0.1,0.9,0.1,0.648020384980147,0.346230821996449,5480,0.694713179564608,0.433561724691233,427,0.750859371945262,0.308342217095196,0.679524714127183,0.824873721040785,5,4,4,4,2,2,4,4,70,47,4,1,28,22,3,1
"18206",0.1,0.9,0.1,0.649131944444444,0.374817849300321,5447,0.41105142239275,0.256308214955814,360,0.183720102347434,0.660845967382193,0.522367987409234,0.746348160691559,4,5,5,4,3,4,2,4,214,327,122,1,70,53,18,1
"18207",0.1,0.9,0.1,0.691926802711925,0.421897333576275,3606,0.663457461604103,0.526985312728638,457,0.745986711233854,0.882460580207407,0.866346973180771,0.71018548514694,5,5,4,4,3,5,4,4,398,320,1,8,192,147,1,3
"18208",0.1,0.9,0.1,0.664176926478121,0.419679921708812,4083,0.498457138030321,0.30165887826826,424,0.294999512471259,0.733608340658248,0.372049882262945,0.877650000527501,5,4,4,4,1,4,3,4,166,31,332,1,93,4,149,1
"18209",0.1,0.9,0.1,0.641409384844968,0.293674985250105,4716,0.568575302213317,0.399718611585051,366,0.357207343168557,0.6751420032233,0.332698709517717,0.845815850608051,4,4,5,5,3,4,1,5,67,1,99,5,39,1,99,2
"18210",0.1,0.9,0.1,0.580342950462711,0.219731685711556,7720,0.567092081023927,0.418635831485267,330,0.454978870227933,0.207260920293629,0.412526231817901,0.395452617481351,4,4,4,4,4,2,4,4,3,56,1,4,4,1,1,3
"18301",0.1,0.9,0.15,0.624896542352781,0.388125246924993,6074,0.598493423450859,0.365130944875071,478,0.261345544829965,0.818711747974157,0.855740214884281,0.628638233989477,4,4,5,5,2,4,5,2,98,1,43,285,58,1,5,151
"18302",0.1,0.9,0.15,0.531943423696105,0.215776773750135,10744,0.10396923457844,0.0364677067741399,403,0.168108775094152,0.280349293164909,0.319624418392777,0.317844052985311,5,4,4,5,2,2,3,2,343,19,5,70,233,16,5,96
"18303",0.1,0.9,0.15,0.647174630059428,0.413616325155763,4737,0.632550823948652,0.413614206223633,497,0.855071471072733,0.854779966920614,0.203327181376517,0.766759052500129,4,5,5,4,4,5,1,4,1,230,122,21,1,60,65,4
"18304",0.1,0.9,0.15,0.585056630824373,0.313925601400864,8721,0.35568007042852,0.249239553049247,450,0.581680539809167,0.58351524323225,0.199706755392253,0.33568073939532,4,5,4,4,4,3,2,3,1,124,34,169,1,38,28,113
"18305",0.1,0.9,0.15,0.567373495358747,0.315534228299118,7351,0.44857294991897,0.259057053581686,517,0.750859371945262,0.308342217095196,0.679524714127183,0.824873721040785,5,4,4,4,3,2,4,4,276,111,21,1,162,22,6,1
"18306",0.1,0.9,0.15,0.607413622606455,0.34275136641952,8077,0.479333836664134,0.211301571882619,453,0.183720102347434,0.660845967382193,0.522367987409234,0.746348160691559,4,5,5,4,2,3,2,4,76,249,62,1,124,133,137,1
"18307",0.1,0.9,0.15,0.634629732151449,0.416109476160256,5192,0.568333606138334,0.421055314863985,547,0.745986711233854,0.882460580207407,0.866346973180771,0.71018548514694,5,5,4,4,2,4,4,4,110,57,1,21,21,11,1,7
"18308",0.1,0.9,0.15,0.620602910602911,0.398423247536843,5909,0.548847463735888,0.303127000198696,512,0.294999512471259,0.733608340658248,0.372049882262945,0.877650000527501,5,4,4,4,1,4,2,4,61,32,295,1,20,4,146,1
"18309",0.1,0.9,0.15,0.566526885730858,0.280571902382579,8921,0.50036758975554,0.302726985815266,457,0.357207343168557,0.6751420032233,0.332698709517717,0.845815850608051,4,4,5,5,3,4,2,5,164,2,188,1,128,2,140,1
"18310",0.1,0.9,0.15,0.543845546533341,0.234029717828189,10236,0.351302717877921,0.230942420300936,419,0.454978870227933,0.207260920293629,0.412526231817901,0.395452617481351,4,4,4,4,4,2,4,3,41,245,5,15,39,15,5,86
"18401",0.1,0.9,0.2,0.580765742041198,0.380346451263705,8404,0.587919112001564,0.298478100973998,576,0.261345544829965,0.818711747974157,0.855740214884281,0.628638233989477,4,4,5,5,2,4,4,2,438,1,23,156,5,1,6,7
"18402",0.1,0.9,0.2,0.510458740226182,0.251673938410297,13961,0.0831504426639732,0.033386078920586,495,0.168108775094152,0.280349293164909,0.319624418392777,0.317844052985311,5,4,4,5,2,2,3,2,67,338,27,25,129,1,25,24
"18403",0.1,0.9,0.2,0.608113037609494,0.413635334662752,5388,0.557988174182607,0.345479633508805,601,0.855071471072733,0.854779966920614,0.203327181376517,0.766759052500129,4,5,5,4,4,4,1,4,1,72,35,7,1,126,40,4
"18404",0.1,0.9,0.2,0.551859609659962,0.317731076300139,9782,0.304543282239376,0.20823889592557,526,0.581680539809167,0.58351524323225,0.199706755392253,0.33568073939532,4,5,4,4,4,2,2,3,1,52,78,264,1,16,51,103
"18405",0.1,0.9,0.2,0.541825051550365,0.333706797625893,10683,0.355930637750207,0.181774312153817,588,0.750859371945262,0.308342217095196,0.679524714127183,0.824873721040785,5,4,4,4,2,3,4,4,100,283,4,1,42,67,3,1
"18406",0.1,0.9,0.2,0.586090663119549,0.352436682191063,10493,0.399891004394697,0.169138460119938,546,0.183720102347434,0.660845967382193,0.522367987409234,0.746348160691559,4,5,5,4,2,3,3,4,248,419,470,1,90,34,294,1
"18407",0.1,0.9,0.2,0.622974580991443,0.440678498829438,7157,0.518325710024403,0.357074121624081,638,0.745986711233854,0.882460580207407,0.866346973180771,0.71018548514694,5,5,4,4,2,3,4,4,160,404,1,26,179,112,1,7
"18408",0.1,0.9,0.2,0.601484048698125,0.412755675463585,7536,0.370129400549475,0.200673976073275,601,0.294999512471259,0.733608340658248,0.372049882262945,0.877650000527501,5,4,4,4,1,4,3,4,47,102,532,1,136,7,261,1
"18409",0.1,0.9,0.2,0.58276270221065,0.349120564660444,10764,0.347662314006303,0.232712401188556,538,0.357207343168557,0.6751420032233,0.332698709517717,0.845815850608051,4,4,5,5,3,4,2,4,44,2,157,12,27,2,142,5
"18410",0.1,0.9,0.2,0.53784158556923,0.290225989532181,14209,0.273008787270094,0.152925330749081,508,0.454978870227933,0.207260920293629,0.412526231817901,0.395452617481351,4,4,4,4,2,2,4,2,17,279,1,54,13,287,1,49
"18501",0.1,0.9,0.25,0.571192637248026,0.418455065852198,10527,0.423012190168745,0.214175371948138,668,0.261345544829965,0.818711747974157,0.855740214884281,0.628638233989477,4,4,5,5,1,4,4,2,42,1,454,62,7,1,245,111
"18502",0.1,0.9,0.25,0.518257869896985,0.311030673068126,16526,0.118727278383328,0.0331335822728118,581,0.168108775094152,0.280349293164909,0.319624418392777,0.317844052985311,5,4,4,5,2,2,3,2,147,306,21,417,301,227,25,276
"18503",0.1,0.9,0.25,0.573453167809458,0.432698419611169,7119,0.469798279963153,0.256143914327543,679,0.855071471072733,0.854779966920614,0.203327181376517,0.766759052500129,4,5,5,4,4,5,1,4,1,145,106,7,1,14,50,4
"18504",0.1,0.9,0.25,0.538067402165788,0.355153272503752,14031,0.182755754467702,0.107556484093509,619,0.581680539809167,0.58351524323225,0.199706755392253,0.33568073939532,4,5,4,4,4,3,2,3,1,97,95,6,1,44,76,3
"18505",0.1,0.9,0.25,0.541235884904064,0.380952964169394,12879,0.23706418887439,0.149666022583921,674,0.750859371945262,0.308342217095196,0.679524714127183,0.824873721040785,5,4,4,4,3,2,4,4,23,220,2,1,13,109,2,1
"18506",0.1,0.9,0.25,0.533387486223596,0.34712281916652,12227,0.496274407212743,0.134110796317592,646,0.183720102347434,0.660845967382193,0.522367987409234,0.746348160691559,4,5,5,4,2,2,2,4,338,232,74,1,210,94,6,1
"18507",0.1,0.9,0.25,0.586222873263889,0.438382712217133,8826,0.39981924460322,0.27897285947049,718,0.745986711233854,0.882460580207407,0.866346973180771,0.71018548514694,5,5,4,4,3,3,4,4,39,169,1,6,14,92,1,3
"18508",0.1,0.9,0.25,0.564003969238402,0.414946245866929,9136,0.355688949677271,0.17945913278021,693,0.294999512471259,0.733608340658248,0.372049882262945,0.877650000527501,5,4,4,4,1,4,3,4,126,69,147,1,50,8,27,1
"18509",0.1,0.9,0.25,0.542457579887504,0.346739599393303,13196,0.149649929174629,0.0750236511048314,618,0.357207343168557,0.6751420032233,0.332698709517717,0.845815850608051,4,4,5,5,3,4,1,4,435,1,11,507,285,1,8,66
"18510",0.1,0.9,0.25,0.499133322935572,0.309570393444104,18565,0.145618996316036,0.0845544122380801,608,0.454978870227933,0.207260920293629,0.412526231817901,0.395452617481351,4,4,4,4,4,2,4,2,323,200,20,28,235,222,3,19
"18601",0.1,0.9,0.3,0.537351752678734,0.424782513797545,12276,0.210048471525248,0.101495236822213,761,0.261345544829965,0.818711747974157,0.855740214884281,0.628638233989477,4,4,5,5,2,4,4,2,707,1,211,70,17,1,75,244
"18602",0.1,0.9,0.3,0.497694957206502,0.354151166660079,16480,0.0812371244922483,0.0326928830731091,669,0.168108775094152,0.280349293164909,0.319624418392777,0.317844052985311,5,4,4,5,2,2,3,2,175,30,5,475,96,20,5,289
"18603",0.1,0.9,0.3,0.560456785539485,0.454293250388907,9523,0.253667285473976,0.143606561800096,770,0.855071471072733,0.854779966920614,0.203327181376517,0.766759052500129,4,5,5,4,4,4,1,4,1,107,146,16,1,33,36,7
"18604",0.1,0.9,0.3,0.539118973872236,0.369641616485674,15753,0.123639200915676,0.0899094374182144,697,0.581680539809167,0.58351524323225,0.199706755392253,0.33568073939532,4,5,4,4,4,3,3,2,9,407,36,280,37,12,166,252
"18605",0.1,0.9,0.3,0.529251735058284,0.431127412205944,15147,0.0343740469266533,0.0164470005914819,776,0.750859371945262,0.308342217095196,0.679524714127183,0.824873721040785,5,4,4,4,3,3,4,4,275,133,1,10,145,111,1,7
"18606",0.1,0.9,0.3,0.560101150471252,0.418245549752611,13108,0.315771409447886,0.100296869276248,739,0.183720102347434,0.660845967382193,0.522367987409234,0.746348160691559,4,5,5,4,2,2,2,4,69,133,725,1,22,64,9,1
"18607",0.1,0.9,0.3,0.574094813050845,0.47651971742538,11974,0.260349774993469,0.144404907270857,802,0.745986711233854,0.882460580207407,0.866346973180771,0.71018548514694,5,5,4,4,2,3,4,4,85,187,2,8,44,52,2,5
"18608",0.1,0.9,0.3,0.548773033472255,0.448139653045265,10120,0.204252237824732,0.0826494010171283,784,0.294999512471259,0.733608340658248,0.372049882262945,0.877650000527501,5,4,4,4,1,4,3,4,298,286,115,1,84,284,64,1
"18609",0.1,0.9,0.3,0.557288984546587,0.395696740288571,15298,0.0716638145141832,0.0246819025402238,698,0.357207343168557,0.6751420032233,0.332698709517717,0.845815850608051,4,4,5,5,3,4,2,3,416,4,375,252,291,4,283,374
"18610",0.1,0.9,0.3,0.469122102097362,0.339454879794406,21713,0.132225335629206,0.089079305780761,704,0.454978870227933,0.207260920293629,0.412526231817901,0.395452617481351,4,4,4,4,2,2,3,3,15,84,1,582,10,138,1,32
"18701",0.1,0.9,0.35,0.538042278058596,0.468899560948828,15531,0.12701289019895,0.0563060686621503,852,0.261345544829965,0.818711747974157,0.855740214884281,0.628638233989477,4,4,5,5,2,4,4,2,245,1,33,59,137,1,15,2
"18702",0.1,0.9,0.35,0.502198237585986,0.385448574371253,17477,0.011166657595414,0.00323192412266733,758,0.168108775094152,0.280349293164909,0.319624418392777,0.317844052985311,5,4,4,5,1,2,3,2,1,81,69,376,1,156,94,9
"18703",0.1,0.9,0.35,0.560033319723004,0.493541202854106,12187,0.172602087728015,0.0942942187076634,849,0.855071471072733,0.854779966920614,0.203327181376517,0.766759052500129,4,5,5,4,4,4,2,4,1,330,349,3,1,232,25,2
"18704",0.1,0.9,0.35,0.526556858094908,0.413007412757823,15558,0.15840921453448,0.0941629320857259,787,0.581680539809167,0.58351524323225,0.199706755392253,0.33568073939532,4,5,4,4,4,4,3,1,3,731,707,13,3,388,21,8
"18705",0.1,0.9,0.35,0.535215403866289,0.460885032538112,17383,0.0179145896611186,0.00922944675349662,855,0.750859371945262,0.308342217095196,0.679524714127183,0.824873721040785,5,4,4,4,3,3,4,3,512,125,242,16,37,57,229,23
"18706",0.1,0.9,0.35,0.531891150512433,0.447642409368003,16739,0.267684922316267,0.0557448442422206,839,0.183720102347434,0.660845967382193,0.522367987409234,0.746348160691559,4,5,5,4,2,2,2,4,134,176,473,1,17,101,71,1
"18707",0.1,0.9,0.35,0.545924124523463,0.487696924540333,15495,0.141514171090923,0.0763805624455492,891,0.745986711233854,0.882460580207407,0.866346973180771,0.71018548514694,5,5,4,4,2,3,4,4,234,20,1,551,19,8,1,7
"18708",0.1,0.9,0.35,0.557573029414992,0.488858279432043,11386,0.114521459772384,0.0300385572022096,874,0.294999512471259,0.733608340658248,0.372049882262945,0.877650000527501,5,4,4,4,1,4,3,4,28,52,183,1,51,8,17,1
"18709",0.1,0.9,0.35,0.545201088498973,0.441222713593151,15397,0.0188537813464681,0.00663322366624201,796,0.357207343168557,0.6751420032233,0.332698709517717,0.845815850608051,4,4,5,5,3,3,2,2,4,73,43,55,3,41,51,55
"18710",0.1,0.9,0.35,0.504118980511992,0.407413537494828,20092,0.0113101240996352,0.0194831065525764,802,0.454978870227933,0.207260920293629,0.412526231817901,0.395452617481351,4,4,4,4,4,3,2,3,279,498,2,412,3,312,2,302
"18801",0.1,0.9,0.4,0.529358897243108,0.498515477121098,15475,0.069005374050208,0.0272350525502702,950,0.261345544829965,0.818711747974157,0.855740214884281,0.628638233989477,4,4,5,5,2,4,4,2,164,3,45,36,69,3,79,52
"18802",0.1,0.9,0.4,0.499653090107542,0.423967095338563,19364,0.00401831001655729,0.00120438327395438,849,0.168108775094152,0.280349293164909,0.319624418392777,0.317844052985311,5,4,4,5,1,2,3,1,10,290,191,36,7,112,253,39
"18803",0.1,0.9,0.4,0.532115866484871,0.492861777283157,14241,0.118402473193202,0.0662510722398105,926,0.855071471072733,0.854779966920614,0.203327181376517,0.766759052500129,4,5,5,4,4,3,1,4,1,443,31,174,1,32,16,14
"18804",0.1,0.9,0.4,0.519425579964708,0.456197576742979,19411,0.115469964308922,0.0602890174534396,892,0.581680539809167,0.58351524323225,0.199706755392253,0.33568073939532,4,5,4,4,4,3,2,2,6,105,6,232,6,76,6,149
"18805",0.1,0.9,0.4,0.513704404274663,0.487385526782422,17301,0.00959004173682015,0.00362106073341322,951,0.750859371945262,0.308342217095196,0.679524714127183,0.824873721040785,5,4,4,4,3,2,3,4,786,150,292,9,1,187,11,7
"18806",0.1,0.9,0.4,0.532104348804659,0.485083266373272,18165,0.0440286981201035,0.0155963697470931,931,0.183720102347434,0.660845967382193,0.522367987409234,0.746348160691559,4,5,5,4,2,2,2,4,266,48,125,1,235,28,152,1
"18807",0.1,0.9,0.4,0.523030155715002,0.508479211835232,17712,0.0464047810557098,0.0193842771724768,983,0.745986711233854,0.882460580207407,0.866346973180771,0.71018548514694,5,5,4,4,3,3,4,4,439,68,1,109,351,58,1,300
"18808",0.1,0.9,0.4,0.542653755346313,0.532504006413419,13288,0.0325493405724312,0.0130754734434788,952,0.294999512471259,0.733608340658248,0.372049882262945,0.877650000527501,5,4,4,4,1,4,3,4,48,99,568,1,55,104,12,1
"18809",0.1,0.9,0.4,0.529517258669772,0.478485496818811,17003,0.00961243485458672,0.00315034112418824,896,0.357207343168557,0.6751420032233,0.332698709517717,0.845815850608051,4,4,5,5,3,2,2,3,87,71,5,354,74,81,4,122
"18810",0.1,0.9,0.4,0.515907120624024,0.461957743714343,21723,0.003072281672337,0.00318732664405713,893,0.454978870227933,0.207260920293629,0.412526231817901,0.395452617481351,4,4,4,4,3,2,2,2,155,213,318,22,216,144,268,89
"18901",0.1,0.9,0.45,0.526692599443754,0.54885873975219,16996,0.030811228288379,0.0123027866502476,1039,0.261345544829965,0.818711747974157,0.855740214884281,0.628638233989477,4,4,5,5,2,4,3,2,149,1,75,151,97,1,39,98
"18902",0.1,0.9,0.45,0.469482946042223,0.450635341604714,22002,0.002178112003188,0.000826583663981792,939,0.168108775094152,0.280349293164909,0.319624418392777,0.317844052985311,5,4,4,5,1,2,3,2,20,320,384,755,18,175,2,18
"18903",0.1,0.9,0.45,0.520975020402938,0.534128893673312,14202,0.0935688759956963,0.0546761729021185,1011,0.855071471072733,0.854779966920614,0.203327181376517,0.766759052500129,4,5,5,4,4,3,1,4,1,524,58,3,1,188,15,2
"18904",0.1,0.9,0.45,0.50924849651287,0.498931690911731,21936,0.0913490631816185,0.0438622540204977,982,0.581680539809167,0.58351524323225,0.199706755392253,0.33568073939532,4,5,4,4,3,3,3,2,5,461,213,829,4,318,14,31
"18905",0.1,0.9,0.45,0.521018297151507,0.539090167649039,17356,0.00462367494253408,0.00224404670546102,1034,0.750859371945262,0.308342217095196,0.679524714127183,0.824873721040785,5,4,4,4,2,2,3,3,11,154,694,116,57,104,7,53
"18906",0.1,0.9,0.45,0.561516273876556,0.566147618070164,17687,0.0219350511836359,0.00580434782858195,1022,0.183720102347434,0.660845967382193,0.522367987409234,0.746348160691559,4,5,5,4,2,2,2,4,1015,356,125,1,16,5,222,1
"18907",0.1,0.9,0.45,0.520533948980084,0.557972610157031,19280,0.0182336449942037,0.0100990805462137,1068,0.745986711233854,0.882460580207407,0.866346973180771,0.71018548514694,5,5,4,4,3,3,4,3,238,340,6,236,176,361,4,174
"18908",0.1,0.9,0.45,0.520751009945,0.547015477739841,16694,0.0144567837104723,0.00417082382774363,1053,0.294999512471259,0.733608340658248,0.372049882262945,0.877650000527501,5,4,4,4,1,3,3,4,21,41,952,1,9,29,78,1
"18909",0.1,0.9,0.45,0.51775943851452,0.51778454449747,18040,0.00760315349922137,0.00222421025951725,991,0.357207343168557,0.6751420032233,0.332698709517717,0.845815850608051,4,4,5,5,2,3,2,3,50,48,41,440,37,53,51,308
"18910",0.1,0.9,0.45,0.479185510854252,0.466284721908929,23903,0.00671706366876152,0.00269415030037482,976,0.454978870227933,0.207260920293629,0.412526231817901,0.395452617481351,4,4,4,4,3,2,2,2,8,619,21,274,74,30,230,226
"19001",0.1,1,0,0.860884461705067,0.623843752645694,1250,0.632701391672443,0.522252123593469,227,0.28151373793371,0.908550716470927,0.950207741744816,0.694718013238162,4,4,5,5,4,4,5,3,146,1,15,162,14,1,2,43
